OTU	SM43_01	SM44_01	SM01_02	SM05_02	SM06_02	SM07_02	SM08_02	SM09_02	SM11_02	SM12_02	SM13_02	SM15_02	SM17_02	SM18_02	SM19_02	SM20_02	SM21_02	SM22_02	SM23_02	SM24_02	SM25_02	SM26_02	SM28_02	SM29_02	SM30_02	SM31_02	SM32_02	SM33_02	SM34_02	SM35_02	SM38_02	SM39_02	SM40_02	SM41_02	SM42_02	SM20_03	SM21_03	SM22_03	SM23_03	SM24_03	SM25_03	SM26_03	SM28_03	SM29_03	SM30_03	SM31_03	SM32_03	SM33_03	SM34_03	SM35_03	SM37_03	SM38_03	SM39_03	SM40_03	SM41_03	SM01_01	SM02_01	SM03_01	SM04_01	SM05_01	SM06_01	SM07_01	SM08_01	SM09_01	SM11_01	SM12_01	SM13_01	SM15_01	SM17_01	SM18_01	SM19_01	SM20_01	SM21_01	SM22_01	SM23_01	SM25_01	SM26_01	SM28_01	SM29_01	SM30_01	SM31_01	SM32_01	SM33_01	SM34_01	SM35_01	SM37_01	SM38_01	SM39_01	SM40_01	SM41_01	SM42_01	SM02_02	SM03_02	SM04_02	SM43_02	SM44_02	SM01_03	SM02_03	SM03_03	SM04_03	SM05_03	SM06_03	SM07_03	SM08_03	SM09_03	SM11_03	SM12_03	SM13_03	SM15_03	SM17_03	SM18_03	SM19_03	SM42_03	SM43_03	SM44_03
2-Aminobutyric acid	0.181180	0.310100	0.036150	0.425120	-0.006850	-0.587070	0.469620	-0.346220	0.743440	0.163010	-0.021100	-0.117820	0.354830	-0.820370	-0.277000	0.259270	0.085980	0.095800	0.110540	0.404220	0.472790	0.312570	0.234670	-0.117310	-0.021400	-0.161040	-0.579780	-0.173110	0.057080	-0.093060	0.438890	-0.676980	0.946830	0.373090	-0.069260	0.283200	0.307500	-0.687510	-0.785410	0.385350	-0.222950	0.271760	0.678280	-0.160790	-0.087790	0.079590	-0.547780	0.090360	-0.183760	-0.020490	-0.284600	0.189120	0.034480	-0.280110	0.175140	0.051170	0.130950	-0.048380	-0.174370	-0.092730	0.207690	0.011640	-0.132130	0.463480	0.206100	-0.226030	-0.012600	-0.087640	0.053040	-0.190940	-0.065150	-0.032500	-0.312760	-0.874350	-0.845810	0.169580	-0.514850	-0.501560	-0.318680	0.045150	-0.240940	-0.264190	-0.354920	-1.214010	-0.790730	-0.350920	0.032650	-0.773160	-0.681610	0.354560	-0.655470	0.631070	-0.361110	0.336860	0.166480	0.331990	0.153000	0.707940	-0.274430	1.170580	0.493520	0.988100	-0.646520	0.642480	0.070670	-0.336180	0.312960	-0.143680	0.855480	0.163180	0.335300	0.413790	0.740090	0.029640	-0.391170
Decanoylcarnitine	-0.166190	-0.400770	-0.258990	-0.099120	-0.182360	0.030890	-0.132210	0.742680	0.679710	-0.083510	0.169460	0.095320	-0.471040	-0.420190	0.356290	1.466970	0.558430	-0.432020	-0.258880	0.728780	0.535270	0.082930	0.409510	-0.042690	-0.154020	-0.210030	-0.822780	0.186780	0.303290	0.241970	0.681610	0.505550	-0.356150	-0.047940	-0.583500	1.531580	0.295590	-0.769510	0.537440	1.240710	0.216600	0.179260	0.231410	0.313820	-0.163840	-0.293820	-0.729440	0.226740	0.249440	0.078480	-1.190220	0.461550	0.923080	-0.348480	-0.104850	-0.572430	0.075350	0.575930	-0.051290	-0.598480	-0.287300	0.012740	-0.590640	-0.219890	0.133340	-0.497530	0.675890	-0.130730	-0.500140	-0.626710	0.146350	0.955780	0.623760	-0.782780	0.021540	-0.043580	-0.308950	-0.181820	-0.225240	0.236540	0.196650	-0.211030	-0.185290	0.163120	-0.155150	-0.364200	0.481410	-0.040730	-0.499290	-0.618110	-0.252250	0.154070	-0.102780	0.029940	0.076300	-0.121140	-0.413330	0.380680	-0.154700	0.287660	-0.079170	-0.396420	-0.340060	-0.380860	0.066390	0.145880	-0.137510	0.138640	-0.361300	-0.515560	-0.607330	0.856100	0.544270	0.005040	-0.968230
Creatinine	0.231350	0.274750	0.162070	0.480690	-0.413920	-0.228240	0.034720	0.076500	0.076610	-0.098650	-0.321300	-0.350080	-0.010040	-0.168180	-0.111090	-0.396680	-0.291850	-0.161960	0.089820	0.206410	0.519110	0.293630	0.469990	0.075340	-0.266460	-0.187900	-0.584860	0.284030	-0.150730	-0.111140	0.049110	-0.241950	0.225080	0.157910	-0.110020	-0.024500	-0.091570	0.315510	0.303820	0.512780	0.413090	0.336960	0.532640	0.321120	-0.162710	-0.118720	-0.224560	0.147690	-0.212410	-0.054040	-0.485490	0.084590	0.168920	-0.019110	0.174000	0.109250	0.003670	-0.008610	0.135110	0.413870	-0.596750	-0.207620	-0.165020	0.495680	0.072590	0.159880	-0.156000	-0.234540	-0.107210	-0.080400	-0.031460	-0.224840	-0.194110	-0.078660	-0.046260	0.448600	-0.090350	0.385570	0.278290	-0.540370	-0.291680	-0.045260	0.194000	-0.254720	-0.352220	-0.130360	-0.027520	-0.319910	-0.313920	0.524720	-0.237650	0.033130	-0.152070	0.366910	0.047810	-0.008400	0.151290	0.371070	-0.367830	0.457920	0.559360	-0.228400	-0.391620	-0.107050	0.050920	-0.215020	0.218560	-0.217720	-0.220520	-0.133070	0.068420	0.098560	0.399770	-0.077220	-0.610620
Isoleucine	-0.031140	-0.094080	-0.020900	0.183890	-0.321880	-0.400780	0.393470	-0.223900	-0.314960	-0.042630	-0.065420	-0.220900	-0.009940	-0.476290	-0.749060	-0.423550	-0.000210	0.438860	0.031220	0.368890	0.492420	0.176910	0.611020	0.152760	0.193410	0.010610	-0.427920	-0.417330	0.217910	0.376010	0.255030	-0.237420	0.039200	0.606850	-0.126170	0.103340	0.029510	0.216070	-0.245860	0.337200	0.059840	0.248260	0.684190	-0.075670	0.264360	-0.062710	-0.062720	0.044330	-0.128560	0.407030	0.102630	-0.056440	-0.020900	-0.212540	0.567310	0.299560	-0.083410	-0.088820	0.315080	0.545600	-0.185180	0.151370	0.386050	0.101380	-0.048770	0.157950	-0.175210	-0.070860	-0.219720	-0.444050	-0.678400	-0.439120	-0.320410	-0.225960	-0.322820	0.295880	-0.381820	-0.029160	-0.129340	-0.174720	-0.198910	-0.349630	-0.510130	-0.406720	-0.282730	-0.533870	-0.474780	-0.372360	-0.570180	0.307660	-0.073630	-0.453300	-0.424730	-0.049970	0.928610	0.552360	0.460660	0.097620	-0.430370	0.487450	0.500160	-0.548440	-0.420450	0.712920	0.048740	-0.440340	0.496280	-0.052860	0.336640	0.150450	0.163710	-0.143020	0.642660	1.195360	-0.722590
Leucine	0.232610	-0.073290	-0.162390	0.110720	-0.149720	-0.476890	0.238470	0.020730	-0.195900	0.105600	0.039980	-0.546720	0.133380	-0.159340	-0.450480	-0.451350	0.288580	0.387120	0.144910	0.347730	0.348180	0.047600	0.528690	-0.063440	-0.126010	0.020850	-0.374440	-0.338230	-0.005890	0.072330	0.058530	-0.316690	0.130510	0.223840	-0.400990	0.196160	0.094190	0.144090	-0.399630	0.211990	-0.085250	0.269660	0.526780	-0.019870	-0.152110	-0.101350	-0.035160	-0.077070	-0.126150	0.186670	-0.036900	0.048220	-0.026110	-0.254420	0.270150	0.552570	-0.105970	-0.017170	0.339950	0.352310	-0.131530	0.030880	0.344820	0.288770	-0.126890	0.099580	0.183860	0.075180	-0.267940	-0.143290	-0.508140	-0.711480	-0.322270	-0.161870	-0.612320	0.436200	0.029770	-0.058840	-0.113470	0.007140	-0.307530	-0.332300	-0.310950	-0.456840	-0.070950	-0.163240	-0.136030	-0.568120	-0.396010	0.104140	0.192130	-0.262400	-0.389790	0.105760	0.605120	0.358080	0.431560	-0.049030	-0.372750	0.521160	0.377220	-0.001030	-0.264510	0.546330	0.274700	-0.381600	0.545350	-0.080560	0.368070	0.209750	0.186150	0.170870	0.523320	0.869930	-1.128330
Nicotinamide	-0.372020	-0.119640	-0.240270	-0.039160	0.302520	0.371690	-0.752830	0.199110	0.787330	0.136100	-0.462500	0.540550	0.515230	-0.143410	-0.191830	-0.450570	-0.374170	0.077780	-0.245140	-0.129260	0.145290	-0.077170	-0.047980	-0.199050	0.074080	0.213180	-0.610450	-0.721770	-0.351660	-0.275420	-0.382420	0.674960	-0.296130	0.342500	-0.570220	-0.928590	-0.778380	-0.337730	-0.242550	-0.600540	-0.632490	-0.510150	-0.004250	0.110050	-0.026760	-0.596460	-0.337140	0.382170	-0.533350	-0.143200	0.211430	-0.456020	1.248560	-0.695910	-0.215570	0.397150	-0.635270	0.248670	0.990020	0.233930	-0.050530	-0.529530	-0.171260	0.502160	0.703930	-0.020080	0.310800	0.529900	1.048760	-0.095210	-0.039130	0.429580	-0.112940	0.201730	-0.560710	1.125550	0.157770	-0.284200	1.043440	0.634720	0.597610	0.128850	0.047330	0.104050	0.391730	0.629380	0.013490	0.414700	0.400330	-0.065370	0.353390	0.155600	-0.331910	0.551730	-0.569150	-0.109240	-0.011300	0.072060	-0.168230	0.567460	0.080980	-0.279890	-0.466790	-0.379780	-0.110600	0.007850	0.029910	-0.425530	0.158950	0.110770	0.276970	0.228670	0.445980	-0.135560	-1.014050
Homoserine	-0.375890	-0.047560	0.078700	0.146990	0.206400	-0.206180	-0.037070	-0.081250	-0.156220	0.013550	-0.371920	-0.028040	-0.305470	-0.160820	-0.375650	-0.092520	0.098310	0.325570	0.019380	0.528800	0.617950	0.268100	-0.032230	-0.143260	-0.357030	0.197450	-0.280380	-0.249430	0.303020	-0.539880	0.549060	-0.646900	-0.125610	0.461970	-0.530850	0.469740	0.443620	0.234740	-0.169420	0.153770	0.259110	0.507780	0.389410	-0.127380	0.111780	0.242050	-0.212360	0.099210	-0.111470	-0.312470	0.355180	0.427150	0.176480	-0.116320	0.042940	-0.118270	-0.343130	-0.070360	0.036880	0.298540	-0.172630	-0.064210	-0.247320	0.434580	0.048370	0.282490	-0.090600	-0.177040	-0.485920	-0.423380	0.577650	-0.152920	-0.190670	-0.114010	-0.032430	0.148900	-0.148000	-0.188560	-0.414140	0.321560	0.472930	0.171120	0.080770	0.136930	-0.475140	0.329540	-0.435480	-0.035680	-0.314030	0.302640	-0.252760	-0.238010	-0.665140	0.271810	0.006920	0.437680	-0.451780	-0.212270	-0.219050	0.054770	0.511730	0.352840	0.092170	0.263920	-0.044740	-0.246530	0.372920	-0.316820	0.299410	-0.160050	0.147530	-0.053600	0.728140	-0.218740	-0.943960
Threonine	-0.375890	-0.047560	0.078700	0.146990	0.206400	-0.206180	-0.037070	-0.081250	-0.156220	0.013550	-0.371920	-0.028040	-0.305470	-0.160820	-0.375650	-0.092520	0.098310	0.325570	0.019380	0.528800	0.617950	0.268100	-0.032230	-0.143260	-0.357030	0.197450	-0.280380	-0.249430	0.303020	-0.539880	0.549060	-0.646900	-0.125610	0.461970	-0.530850	0.469740	0.443620	0.234740	-0.169420	0.153770	0.259110	0.507780	0.389410	-0.127380	0.111780	0.242050	-0.212360	0.099210	-0.111470	-0.312470	0.355180	0.427150	0.176480	-0.116320	0.042940	-0.118270	-0.343130	-0.070360	0.036880	0.298540	-0.172630	-0.064210	-0.247320	0.434580	0.048370	0.282490	-0.090600	-0.177040	-0.485920	-0.423380	0.577650	-0.152920	-0.190670	-0.114010	-0.032430	0.148900	-0.148000	-0.188560	-0.414140	0.321560	0.472930	0.171120	0.080770	0.136930	-0.475140	0.329540	-0.435480	-0.035680	-0.314030	0.302640	-0.252760	-0.238010	-0.665140	0.271810	0.006920	0.437680	-0.451780	-0.212270	-0.219050	0.054770	0.511730	0.352840	0.092170	0.263920	-0.044740	-0.246530	0.372920	-0.316820	0.299410	-0.160050	0.147530	-0.053600	0.728140	-0.218740	-0.943960
Dihydroxyacetone	0.044270	0.371170	0.074940	0.336770	-0.226850	-0.110200	0.111530	0.350190	-0.069850	0.412680	-0.035850	-0.214270	-0.315790	0.236250	0.108270	-0.133540	-0.078540	0.236920	-0.438480	-0.035180	0.486210	-0.026410	-0.052430	-0.131660	-0.098960	0.126040	0.033460	0.149770	0.170900	-0.067810	-0.120240	-0.144880	0.065070	0.105160	-0.259680	-0.111940	-0.170220	-0.444380	0.127440	-0.065100	-0.170910	-0.022310	0.112520	0.335770	-0.034510	0.023970	-0.019180	0.089970	-0.354540	0.065090	-0.033520	-0.165480	-0.240020	0.139150	0.026140	-0.286040	0.045080	0.108710	0.090780	-0.267760	0.068170	0.041650	-0.084700	-0.148130	-0.000140	0.103630	-0.072930	0.063700	-0.135550	-0.048260	-0.089510	-0.009980	-0.027320	0.201620	-0.147310	0.083390	-0.210460	-0.026210	0.335150	-0.041500	-0.384020	0.069790	-0.194900	-0.181390	-0.001290	-0.227090	0.023460	-0.112550	-0.386590	0.346750	-0.304230	-0.024730	0.016370	0.355390	0.357030	0.200810	0.077900	-0.023150	-0.095210	0.155750	-0.075370	0.125950	-0.134170	0.231270	-0.075560	-0.272230	0.211960	0.003530	-0.127980	0.437350	0.323620	0.466510	0.403720	-0.265780	-0.413960
Hippuric acid	0.624750	-0.751920	0.125850	-0.061870	0.405040	-0.309120	-0.019830	0.063640	-0.348700	0.375570	-0.921500	-0.103430	-0.589380	0.093910	0.420160	0.165310	1.059770	-0.180120	-0.545480	0.347620	0.803900	0.481080	0.748910	1.368710	-1.105260	-0.545060	-0.234870	0.292500	-0.048220	-0.601900	-0.867080	-1.539630	1.285080	-0.258790	-0.200210	1.044320	1.095640	0.528110	0.082710	-0.517540	0.280130	-0.828060	0.129590	-1.053370	-0.889480	-0.102150	0.056330	0.093490	-0.143970	0.158510	0.631230	-0.346490	-1.719680	0.878350	-0.210910	0.372970	0.022740	-0.390880	0.366960	-1.130520	0.139080	0.238200	-0.252280	0.451430	0.047160	0.417380	-1.087050	-0.436000	0.326720	0.100250	0.626710	0.424740	0.967660	-0.044150	-1.014520	0.643520	-1.075900	0.494560	-0.227460	-0.925780	-0.197920	0.220460	1.067110	-0.031160	0.154620	0.486170	-0.341810	-1.696270	0.304940	-0.177010	0.456390	-0.442700	-0.284580	0.279860	1.025770	1.392200	0.257700	-0.469200	-0.030400	0.879610	0.103060	0.124850	-0.408220	0.406120	0.020310	-0.524500	0.522340	-0.764890	-0.462230	-0.396060	0.045840	0.339440	0.967440	0.187730	-0.666820
