HMDB	SM.04_01	SM.03_01	SM.31_01	SM.30_01	SM.04_03	SM.03_03	SM.31_03	SM.30_03	SM.08_01	SM.08_02	SM.08_03	SM.08_04	SM.08_05	SM.08_09	SM.08_13	SM.09_01	SM.09_03	SM.12_01	SM.12_03	SM.11_01	SM.11_03	SM.13_01	SM.13_03	SM.17_01	SM.17_03
HMDB0031635	56382	32353	9035981	60368	73143	56180	58105	68349	745990	258790	357378	166360	176916	1582976	2311526	425053	132017	750092	112829	1540232	189706	166878	86498	74727	108266
HMDB0030305	1386651	245808	7830603	322602	172328	810871	3461709	403423	7336162	1454613	4719083	16603392	1122522	1228659	8394158	1631789	1086478	529882	633834	3470135	1279680	172298	431683	542138	2821341
HMDB0000301	288663696	46524131	516295096	177549693	688837599	509118264	54956639	49693345	450449349	370839320	434694697	345198700	336305775	368192612	330668654	357627469	255000467	285045496	351749783	505589362	585303148	201024609	220686648	146261215	253016424
HMDB0000462	18168821	8738534	184509	161916	1047255	2940238	1088497	1764623	183503	750656	1177846	187700	133396	159736	406277	392862	1219313	171485	1767630	2792632	2229642	298898	907313	256427	185286
HMDB0001525	907087	430764	905485	1968840	1180588	2048224	790005	8571433	1001979	617197	3952662	2733785	443746	2184858	899939	453562	1832358	446927	502414	2412378	916851	859226	343234	1684570	768998
HMDB0001919	40047	23180	43269714	37944	37422	34248	106854030	42400	37773	44418	39935	39184	59544	33948	37927	38658	37744	38068	37763	38307	38929	37686	35908	37703	35591
HMDB0006240	113449	143051	1823102	500798	336600	212391	247490	966320	1803249	7949635	2002385	976488	355584	985629	1075032	241143	367820	1537002	3231237	1523349	2672337	235588	370993	329211	382381
HMDB0014533	428590	30743	71474	330918	45145	60352	54138	81234	71672	66155	121133	64894	395679	52347	82870	67986	69362	562602	538795	761289	4385783	56366	24405272	616693	764443
HMDB0015052	39727	36923	46395	64339	63536	30736	30154	40019	164469	944914	1254438	42567	393889	128174	155305	44588	49369	58308	44764	61411	47100	46356	47871	36804	38742
HMDB0015503	65206	31745	925405	102769	52096	67070	53085	58015	511890	66768	74351	174179	73635	474013	404858	210761	8040662	780862	78083	373164	242581	117278	247430	99883	69016
HMDB0032985	221449	107791	367137	1057495	617631	2279757	7504426	4093288	2946796	2109864	1356047	2231677	585973	975592	1458976	14127967	9570379	2146646	6513582	451262	1266191	179513	818770	570622	759097
HMDB0014491	3735031	141527	5514883	3089588	2582455	4102948	2664884	6920948	4576127	4454257	4820705	5925049	1916899	3592367	3517148	6666627	5671786	4963151	6174700	1863481	5804533	1306671	3166066	2441354	2274229
HMDB0000306	777892	172790	9018616	31495751	663785	1520243	13495206	10548641	2900979	2629170	1827015	1583141	12862531	13148812	3324577	2899057	36517017	5615346	1245104	5680299	1903707	2112977	3326766	19764131	3473709
HMDB0000669	89828	387508	87760	302736	86865	247878	124943	100192	705487	102118	114712	204822	145107	458358	251125	101912	148692	453057	283859	134771	118827	117023	125170	377245	140592
HMDB0000714	4878717	510264	14332729	13684534	2460870	3382333	3430449	9607107	8208163	9210818	5446816	4983369	7263561	8516131	8154191	9611608	4830622	12951619	6199464	7761142	13562103	4645913	3757476	5604873	6687717
HMDB0000779	477567	62872	477158	421193	1253527	1324668	1153410	4052857	4335640	2930046	3835360	6281463	1092031	2127520	3484330	2367927	2141965	1900907	2210089	1021852	3710119	704615	1099152	536227	1162758
HMDB0001169	804974	437210	1581614	1726662	712845	823852	348556	1142580	1609165	1403870	1216293	1474295	833265	3271334	1197776	1321316	787165	4460373	866194	1528458	1276047	1023825	1122900	9878980	1948598
