OTU	Super_Class	Class	Sub_Class	Direct_Parent	Metabolite
HMDB0031635	Organosulfur_compounds	Allyl_sulfur_compounds	Allyl_sulfur_compounds	Allyl_sulfur_compounds	2-Propene-1-thiol
HMDB0030305	Organoheterocyclic_compounds	Azaspirodecane_derivatives	Azaspirodecane_derivatives	Azaspirodecane_derivatives	Dioscorine
HMDB0000301	Organoheterocyclic_compounds	Azoles	Imidazoles	Imidazolyl_carboxylic_acids_and_derivatives	Urocanic_acid
HMDB0000462	Organoheterocyclic_compounds	Azoles	Imidazoles	Imidazoles	Allantoin
HMDB0001525	Organoheterocyclic_compounds	Azoles	Imidazoles	Imidazoles	Imidazole
HMDB0014533	Organoheterocyclic_compounds	Azoles	Imidazoles	Carbonylimidazoles	Carbimazole
HMDB0015052	Organoheterocyclic_compounds	Azoles	Imidazoles	Nitroimidazoles	Metronidazole
HMDB0006240	Organoheterocyclic_compounds	Azoles	Pyrazoles	Phenylpyrazoles	Demethylated_antipyrine
HMDB0015503	Organoheterocyclic_compounds	Azoles	Pyrazoles	Phenylpyrazoles	Antipyrine
HMDB0001919	Organoheterocyclic_compounds	Azoles	Thiazoles	"2,4-disubstituted_thiazoles"	Famotidine
HMDB0032985	Organoheterocyclic_compounds	Azoles	Thiazoles	"4,5-disubstituted_thiazoles"	5-(2-Hydroxyethyl)-4-methylthiazole
HMDB0014491	Organoheterocyclic_compounds	Azolidines	Oxazolidines	Oxazolidinediones	Trimethadione
HMDB0001169	Benzenoids	Benzene_and_substituted_derivatives	Aniline_and_substituted_anilines	Aniline_and_substituted_anilines	4-Aminophenol
HMDB0011725	Benzenoids	Benzene_and_substituted_derivatives	Benzenesulfonic_acids_and_derivatives	3-sulfobenzoic_acids	5-Sulfosalicylic_acid
HMDB0031031	Benzenoids	Benzene_and_substituted_derivatives	Benzenesulfonic_acids_and_derivatives	Benzenesulfonic_acids_and_derivatives	2-Dodecylbenzenesulfonic_acid
HMDB0031033	Benzenoids	Benzene_and_substituted_derivatives	Benzenesulfonic_acids_and_derivatives	Benzenesulfonic_acids_and_derivatives	4-Dodecylbenzenesulfonic_acid_Na_salt
HMDB0059933	Benzenoids	Benzene_and_substituted_derivatives	Benzenesulfonic_acids_and_derivatives	p-Methylbenzenesulfonates	p-Toluenesulfonic_acid
HMDB0000714	Benzenoids	Benzene_and_substituted_derivatives	Benzoic_acids_and_derivatives	Hippuric_acids	Hippuric_acid
HMDB0001392	Benzenoids	Benzene_and_substituted_derivatives	Benzoic_acids_and_derivatives	Aminobenzoic_acids	p-Aminobenzoic_acid
HMDB0001476	Benzenoids	Benzene_and_substituted_derivatives	Benzoic_acids_and_derivatives	Hydroxybenzoic_acid_derivatives	3-Hydroxyanthranilic_acid
HMDB0001870	Benzenoids	Benzene_and_substituted_derivatives	Benzoic_acids_and_derivatives	Benzoic_acids	Benzoic_acid
HMDB0032575	Benzenoids	Benzene_and_substituted_derivatives	Benzoic_acids_and_derivatives	p-Hydroxybenzoic_acid_alkyl_esters	Butylparaben
HMDB0032852	Benzenoids	Benzene_and_substituted_derivatives	Benzoic_acids_and_derivatives	Anthranilamides	"2-(Ethylamino)-4,5-dihydroxybenzamide"
HMDB0006115	Benzenoids	Benzene_and_substituted_derivatives	Benzoyl_derivatives	Benzoyl_derivatives	Benzaldehyde
HMDB0015163	Benzenoids	Benzene_and_substituted_derivatives	Biphenyls_and_derivatives	Biphenyls_and_derivatives	Irbesartan
HMDB0015661	Benzenoids	Benzene_and_substituted_derivatives	Cumenes	Cumenes	Fospropofol
HMDB0015562	Benzenoids	Benzene_and_substituted_derivatives	Diphenylmethanes	Diphenylmethanes	Isopropamide
HMDB0014356	Benzenoids	Benzene_and_substituted_derivatives	Methoxybenzenes	Dimethoxybenzenes	Midodrine
HMDB0000779	Benzenoids	Benzene_and_substituted_derivatives	Benzene_and_substituted_derivatives	Benzene_and_substituted_derivatives	Phenyllactic_acid
HMDB0001250	Benzenoids	Benzene_and_substituted_derivatives	Benzene_and_substituted_derivatives	Benzene_and_substituted_derivatives	N-Acetylarylamine
HMDB0014918	Benzenoids	Benzene_and_substituted_derivatives	Benzene_and_substituted_derivatives	Benzene_and_substituted_derivatives	Phenelzine
HMDB0015114	Benzenoids	Benzene_and_substituted_derivatives	Benzene_and_substituted_derivatives	Benzene_and_substituted_derivatives	Cyclopentolate
HMDB0031314	Benzenoids	Benzene_and_substituted_derivatives	Benzene_and_substituted_derivatives	Benzene_and_substituted_derivatives	Benzyl_methyl_sulfide
HMDB0033944	Benzenoids	Benzene_and_substituted_derivatives	Benzene_and_substituted_derivatives	Benzene_and_substituted_derivatives	2-Phenylethanol
HMDB0032565	Benzenoids	Benzene_and_substituted_derivatives	N-phenylureas	N-phenylureas	(4-Ethoxyphenyl)urea
HMDB0000306	Benzenoids	Benzene_and_substituted_derivatives	Phenethylamines	Phenethylamines	Tyramine
HMDB0014328	Benzenoids	Benzene_and_substituted_derivatives	Phenethylamines	Amphetamines_and_derivatives	Amphetamine
HMDB0015517	Benzenoids	Benzene_and_substituted_derivatives	Phenethylamines	Amphetamines_and_derivatives	Methamphetamine
HMDB0015124	Benzenoids	Benzene_and_substituted_derivatives	Phenoxy_compounds	Phenoxy_compounds	Rivastigmine
HMDB0000669	Benzenoids	Benzene_and_substituted_derivatives	Phenylacetic_acids	2(hydroxyphenyl)acetic_acids	Ortho-Hydroxyphenylacetic_acid
HMDB0002832	Benzenoids	Benzene_and_substituted_derivatives	Phenylpropanes	Phenylpropanes	Methylnoradrenaline
HMDB0032048	Benzenoids	Benzene_and_substituted_derivatives	Phenylpropanes	Phenylpropanes	"2,6-Di-tert-butyl-4-hydroxymethylphenol"
HMDB0034240	Benzenoids	Benzene_and_substituted_derivatives	Styrenes	Styrenes	Styrene
HMDB0041965	Benzenoids	Benzene_and_substituted_derivatives	Toluenes	Aminotoluenes	o-Toluidine
HMDB0015070	Benzenoids	Benzene_and_substituted_derivatives	Xylenes	Xylenes	Oxymetazoline
HMDB0015189	Benzenoids	Benzene_and_substituted_derivatives	Xylenes	m-Xylenes	Tocainide
HMDB0060679	Benzenoids	Benzene_and_substituted_derivatives	Xylenes	m-Xylenes	Glycinexylidide
HMDB0030185	Organoheterocyclic_compounds	Benzodioxoles	Benzodioxoles	Benzodioxoles	(E)-Piperolein_A
HMDB0032929	Organoheterocyclic_compounds	Benzofurans	Benzofurans	Benzofurans	Benzofuran
HMDB0029463	Organoheterocyclic_compounds	Benzopyrans	1-benzopyrans	Xanthones	Gentisein
HMDB0029702	Organoheterocyclic_compounds	Benzopyrans	1-benzopyrans	Xanthenes	Erythrosine
HMDB0015204	Organoheterocyclic_compounds	Benzothiazines	Phenothiazines	Phenothiazines	Mequitazine
HMDB0029723	Organoheterocyclic_compounds	Benzothiazoles	Benzothiazoles	Benzothiazoles	Saccharin
HMDB0001276	Organic_acids_and_derivatives	Carboximidic_acids_and_derivatives	Carboximidic_acids	Carboximidic_acids	N1-Acetylspermidine
HMDB0033458	Organic_acids_and_derivatives	Carboximidic_acids_and_derivatives	Carboximidic_acids	Isoureas	N-Carbamoylputrescine
HMDB0034146	Organic_acids_and_derivatives	Carboximidic_acids_and_derivatives	Carboximidic_acids	Carboximidic_acids	Octadecanamide
HMDB0031647	Organic_acids_and_derivatives	Carboxylic_acids_and_derivatives	Acrylic_acids_and_derivatives	Acrylic_acids	Acrylic_acid
HMDB0000064	Organic_acids_and_derivatives	Carboxylic_acids_and_derivatives	"Amino_acids,_peptides,_and_analogues"	Alpha_amino_acids_and_derivatives	Creatine
HMDB0000070	Organic_acids_and_derivatives	Carboxylic_acids_and_derivatives	"Amino_acids,_peptides,_and_analogues"	Alpha_amino_acids	Pipecolic_acid
HMDB0000092	Organic_acids_and_derivatives	Carboxylic_acids_and_derivatives	"Amino_acids,_peptides,_and_analogues"	Alpha_amino_acids	Dimethylglycine
HMDB0000112	Organic_acids_and_derivatives	Carboxylic_acids_and_derivatives	"Amino_acids,_peptides,_and_analogues"	Gamma_amino_acids_and_derivatives	Gamma-Aminobutyric_acid
HMDB0000148	Organic_acids_and_derivatives	Carboxylic_acids_and_derivatives	"Amino_acids,_peptides,_and_analogues"	Glutamic_acid_and_derivatives	L-Glutamic_acid
