taxonomy	SM.03_01	SM.03_03	SM.04_01	SM.04_03	SM.08_01	SM.08_02	SM.08_03	SM.08_04	SM.08_05	SM.08_09	SM.08_13	SM.09_01	SM.09_03	SM.11_01	SM.11_03	SM.12_01	SM.12_03	SM.13_01	SM.13_03	SM.17_01	SM.17_03	SM.30_01	SM.30_03	SM.31_01	SM.31_03
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	9.8493	0.2092	2.95668	0.84542	6.34491	0.12251	1.17069	1.5708	0.07855	2.28445	1.56856	9.05149	2.74416	16.33852	7.13555	7.85847	9.12992	8.47384	1.38904	14.6245	10.02352	14.67954	0.00475	2.53675	0.07525
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus	9.54672	1.97962	1.64491	1.67423	0.2013	0.45944	0.20538	1.3391	0.19194	0.32543	0.53436	0.59843	0.32377	4.74682	0.12309	0.81934	1.3724	4.48182	0.75853	0.05705	0.1101	1.28636	10.27452	2.58486	0.70695
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	7.13912	1.68486	11.9366	7.38068	1.04794	1.0787	0.93155	1.57931	0.7275	1.37241	1.53251	1.39521	2.42427	4.6713	7.29933	9.20944	2.53102	2.13179	4.47101	0.73951	0.75746	0	0	3.46215	0.01661
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_massiliensis	5.30359	0.88162	4.31018	1.80091	1.62496	1.07967	1.85218	0.74317	0.06789	0.67743	4.93621	0.25314	0.27479	3.13987	1.04644	5.82308	3.23996	4.35717	2.92233	0.08043	0.01173	4.03044	0.29422	1.64369	0.09299
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	5.1539	8.63283	7.48421	9.86785	3.03663	5.01459	3.27023	3.41466	0.13969	8.73057	4.16361	1.74665	1.57841	3.22472	7.89974	4.27047	2.05576	7.94915	9.35086	8.352	4.11201	9.06788	0.3874	4.36474	0.11001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	4.49963	0.73433	4.6422	2.10308	0.76934	0.57394	1.0458	0.34511	0.02834	1.52393	2.79599	2.08531	1.57087	1.96144	1.04889	1.65598	0.94871	3.80081	2.63005	4.80616	2.18762	5.93481	0.06303	0.11091	0.02358
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_celerecrescens	3.73894	6.51254	3.36125	7.45952	0	0	0	0	0	0	0	0.43309	0.95344	1.08363	4.58588	0.93871	3.4476	2.07859	6.0812	0.00466	0.01841	0	0	0.01579	0.04677
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	3.69455	6.56719	3.77331	8.67529	1.40111	6.45632	7.66065	3.15415	0.06805	0.82641	11.1935	5.21287	12.84022	2.89413	19.22846	4.27546	7.11105	2.54278	18.14295	7.85477	4.66851	2.13507	0.01812	0.06144	0.14396
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	3.65836	0.43831	0.45981	0.57134	0.01473	0.00598	0.01736	0.06989	0.0121	0.02608	0.05439	0	0	0	0	0.00081	0	0	0	0	0	0.01905	0.14014	0.00799	0.02888
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei	3.54593	4.29077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15007	0.06148	0	0	0	0
